restaurant_name,restaurant_user_name,restaurant_user_review
SWeL Restaurant,jill g.,"SWeL is a place i've been wanting to try and v was worried that my expectations would be too high. They weren't. Holy carp, this place! Atmosphere-wise it's charming. dark but not too dark. cozy but not cramped. cute decor, but they aren't trying too hard. etc.
service gets an A+. fast, friendly, accommodating, knowledgeable. we never felt left alone but they were not intrusive.
drinks were perfect. the greyhound was so full of fresh grapefruit that i'm skipping my vitamin C pill tomorrow.
and the food, amazing. goat cheese crostini app w/tapenade? yum. pasta? so yum. sockeye salmon? perfectly cooked.
don't wait. go."
SWeL Restaurant,Kelli M.,"I'll start off by saying our server was great, establishment was cute, but..I was FAR from impressed with the food @ this place. I called ahead to ensure they could accommodate vegans and they assured me they had a few great options. We get there for dinner w/a group and my husband and I decided upon a ""loaded"" veggie pizza without cheese to make it easy. Our pizza came out. It consisted of VERY little mushroom and onions (like, extremely scarce) and was completely covered entirely with dry arugula. Really? The pizza was paper thin. It was the most disappointing veggie pizza I've EVER seen a restaurant put together. To top that, we got the bill and saw they charged $18 for it!! No joke, we had multiple slices that had nothing on it but tomato sauce..‍
‍
Morale of the story. Vegan community: I DO NOT recommend this place.
**Update in response to owner message**
As a customer, I have every right to give my personal opinion on any and every establishment. I did just that, and had the owner tell me that I'm standing on a soap box yelling to the public and he's tired of unhappy customers ""running to their mother"". Really?! May I suggest learning more about customer acquisition and retention? To be quite frank, I shouldn't have to complain when I get my food. I made it very clear that we were vegan before arriving AND at the restaurant when conversing with server. Your establishment took it upon yourself to make us a ""vegan"" pizza that had two vegetables on it. Way to go over and beyond the first time around. I guess it's my fault tho since I didn't complain, right? It's ridiculous that you can't let someone give their honest opinion without passively aggressively insulting them.
Also, to set the record straight, when we spoke on the phone, I never said I was getting the sandwich, I was just asking about the options we had. I do appreciate you going out of your way (if you really did) to PCC, But honestly, that's part of being a business owner. You do what it takes to create an environment where guest satisfaction is your highest priority. If someone isn't happy, you don't attack them..
I'm so appalled at your response to my review."
SWeL Restaurant,Sarah P.,"Food: At the bar, we ordered the baked goat cheese appetizer (a log of goat cheese rolled in pistachios and served with crostini for spreading and a side of fig kalamata olive tapenade, everything was amazing except the toast was maybe too toasted for how thick it was which made it harder to eat, the only negative comment of the night). We also ordered drinks, a basil gimlet for me (gin, basil, lime, it was SO GOOD) and a mezcal jalapeno margarita for Mike (they made it extra spicy for him which was great).
Once we were seated at our table, we ordered the chopped salami salad (salami, provolone, garbanzo beans, tomato, red onions, iceberg lettuce + red leaf, small ribbons of kale, plus a creamy tarragon vinaigrette that was just delicious), the Italian sausage pizza (I think I was drunk I don't even like sausage pizza why did I order this? But this one was very good), plus the mushroom pasta (fresh tagliatelle with shiitake, oyster and crimini mushrooms plus a white wine sauce, probably the best thing). Overall the food was awesome.
Staff: Super friendly! We had a reservation, but when we arrived the place was packed and the table before us was taking longer than expected, so we sat at the bar for a while. It felt like the entire staff was in on the situation, they kept checking in on us and making fun of the slow eaters, basically celebrating when we finally got our table. It was pretty funny.
Ambiance: Nice. Dark lighting, cool decor, pretty bar, felt cozy and updated."
SWeL Restaurant,Zachary B.,"OMG, fabulous is the only word. The food was INCREDIBLE, the service was personable and kind, the drinks were perfect. I can't think of any way the experience could have been elevated. The inside feels intimate and cozy, and just makes you feel like you're at home. I had a pasta dish that was really yummy and had a nice spice to it. The Caesar salad was awesome, super super garlicky, so if you aren't into that, you won't like it. Heads up, it's huge, and they can't split it in the kitchen. Our waitress split it for us at the table, but if sharing you may have to plate it up for yourselves. No biggie. Definitely worth the trip out of the city."
SWeL Restaurant,Hannah D.,"I came to SWeL with my boyfriend and friend. The moment we walked in, we had the best service. Scott went above and beyond to make sure we had an amazing experience. If you are serviced by Scott, you are in for a treat! I highly recommend the Calamari appetizer and Prosciutto pizza. Both are fresh and full of flavor. If you are looking for a tasty drink, I highly recommend the Gin and Juice. It will change your life. I would say this restaurant is good for a date night, celebration, or night with friends."
SWeL Restaurant,Crystel T.,"Honestly, one of the best restaurants in Seattle - from service, food to just overall atmosphere.
My husband came in on a Saturday night after joining the waitlist on Yelp. When we got in, the hostess was super nice and seated us within a few minutes.
Our server (I wish I remembered his name) was very friendly and answered any questions we had. He helped choose an awesome red wine that paired well with the pork chop dish. The cocktail he made for my husband was also delicious (it had basil in it), and I'm not typically a cocktail person!
Now the food. We ordered the calamari appetizer and it did not disappoint. To our surprise, it was spicy; but the heat was just right. What we like was that we could tell it was fresh and it wasn't so heavily breaded. In a lot of restaurants, often their calamari is breaded, greasy and you can tell it's frozen. The pork chop was just pure perfection! The chop was cooked so well - tender and juicy; and I was so in love with the Marsala sauce. My mouth is watering as I'm writing this, lol. Compliments to their chef who create that delicious sauce. My husband ordered the salmon and he too was happy with his dish.
For dessert, we ordered the bread pudding and the chocolate chip cooking with ice cream. Now, while the cookie was good; I really enjoyed the bread pudding! It's funny, my husband and I were visiting NOLA a few months ago, and bread pudding is pretty much s staple there. We ate so much of it and I had doubts SWeL's would come close to being as good. A lot of people may disagree with me, but the bread pudding at SWeL's was the best bread pudding I've ever had! The bread was tasty and not soggy like at some places; and I thought the pears really balanced the dish out.
Overall, we were very happy with the food and service. We've lived in Fremont for 3 years now and we regret that we've only been to SWeL once! We can't wait to go back!"
SWeL Restaurant,Khang B.,"Came in for a work lunch and chose the sandwich that had the Italian meats in it.
So worth it. The bread is so crisp yet easy to bite into. They love their serranos here and it's very welcome. Love the kick it provides! These people really know how to make sandwiches.
Can't wait to come back and try their dinner."
SWeL Restaurant,Jeremy S.,"This place is pretty good. I went here for a date and it was definitely the right ambiance for it. The area is cozy, the staff is friendly, and the lighting is dim. I ordered some wine, pizza, scallops, and a goat cheese salad. Keep in mind the scallops are more of a cheese dish that is melted with scallops. I thought it was going to be more of pieces of scallops with some cheese on them. The food as a whole was pretty good, I'd give it a 4/5... nothing that was a must have again.
Reservations were pretty quick and easy since you can do it online.
Overall, I'd definitely recommend this place to go for a date night or night out with friends! The food is decent and the ambiance is great and chill."
SWeL Restaurant,Emma V.,"Going to a class at Theo tonight at 6:30, so we looked up best happy hour in Fremont. This place was top of the list, and it's well deserved! I had vodka and a Seattle soda diet cola, my husband had the imperial oatmeal stout, both were fantastic. We had carne tacos, an Italian sausage pizza, and the organic chicken sandwich. I was in love with the pizza and the tacos, but not as much for the sandwich, despite it being filling! One thing to note is that the Italian sausage pizza came with a lot of mushrooms on it. It was still delicious, but a note in the menu would have been appreciated. The carne tacos were phenomenal, but very little food for $12. I think the best value was the sandwich, which was huge, and also came with chips."
SWeL Restaurant,Jenny K.,"Stopped by for Tuesday afternoon happy hour by the bar. We ordered the calamari, oven fired scallops, pepperoni pizza, & the prosciutto pizza. It was perfect for 2 of us since the happy hour pizza's aren't too big. The server was very nice and answered all the questions we had.
My favorite was the oven fired scallops. It came with a side of sliced baguette and it was the perfect pair to the scallops. Be careful! It's really hot!
Calamari: It was surprisingly big and the lime juice on top and arugula on bottom. It wasn't just a plain plate of calamari.
Pizzas: We preferred the prosciutto over the pepperoni but both were still delicious. The prosciutto pizza had a slight sweetness that we enjoyed. Loved the mushrooms on the pepperoni."
